uid,caption
333887_mscoco_4,A zebra with his head down s walking away on top of a grassy field.
251794_mscoco_4,A girl is blowing out some candles on a cake.
137265_mscoco_2,there is a kite that is being flown high in the sky
285352_mscoco_2,A toilet in a narrow room with a toilet brush next to it.
16241_mscoco_0,A low flying commercial plane passing tall buildings
208135_mscoco_1,A person skiing down a snow covered slope.
44312_mscoco_0,a boy carrying a big bag of food across his shoulders
32300_mscoco_0,A picture of a kid picking up a ball.
549242_mscoco_3,A surf boarder stands up to ride a wave.
326428_mscoco_3,A broken stop sign leaning into the street
427762_mscoco_1,A boy in a wet suit on a surfboard in the water.
196484_mscoco_3,A giraffe standing next to a leaf filled tree.
173685_mscoco_4,A person's shadow is in the grass by the water over which a bridge passes.
476925_mscoco_0,A man sitting on a top of a green couch.
205585_mscoco_3,Performers are in the circus doing tricks with horses.
186226_mscoco_4,a close up of a person wearing eye galsses
365886_mscoco_1,A person posing with there cell phone with thumbs up.
9553_mscoco_2,A bird with an orange beak sitting on a tree branch.
494345_mscoco_2,A cat standing on a toilet seat looking in the bowl.
121591_mscoco_1,An incredible picture of an individual in the stillness movement.
171857_mscoco_4,The is a small herd of cows in the grassy field.
266434_mscoco_0,A baseball player getting ready to hit a ball at home plate.
348447_mscoco_3,A man looks at the camera while in the restaurant kitchen
153026_mscoco_4,"A closeup picture of a pizza with sausage, olives, and mushrooms."
70744_mscoco_4,A window reflects back a group of people sitting outside at tables.
165713_mscoco_2,a fire hydrant near two small poles on the curb of a street
552973_mscoco_4,A boy skateboards on a ramp while people watch on.
497351_mscoco_0,A army jeap on display in a museum.
550643_mscoco_2,A big pot with broccoli and noodles in it sitting on a stove
190185_mscoco_3,A large sandwich topped with an American flag.
25896_mscoco_1,A group of men sit on a bench outside.
354321_mscoco_0,two long horned steers on the prairie enjoying themselves
48653_mscoco_2,"A snowboarder doing getting ""air"" on way down the mountain."
345993_mscoco_2,Two men and a woman sitting at a table laughing together.
414917_mscoco_1,A boy watches out the window of an airport and sees a plane.
241269_mscoco_3,A retro style living room with orange sofa and green chairs.
425027_mscoco_2,A black and white kitten stands atop a laptop computer
291981_mscoco_3,A laptop on a table with notes and books all over the place.
540697_mscoco_0,A large white airplane with blue tail parked.
341567_mscoco_4,Black bird flying over a rocky and snowy landscape.
403349_mscoco_0,A man wearing a baseball hat tossing a frisbee.
122962_mscoco_3,Large group of little kids and adults sitting and surrounding a long table with blue plates.
328337_mscoco_1,A boy prepares to throw a frisbee to someone out of the shot.
391915_mscoco_1,A pleasant bedroom with the door open to invite the beautiful day inside.
510117_mscoco_0,A pizza with thick crust sitting on a table.
221390_mscoco_2,a person sitting with a child wearing a tie
482319_mscoco_4,a man and woman play with a small child
19443_mscoco_1,The motorcycle was used for decoration by the water.
147793_mscoco_4,a street sign that is covered in stickers on the back
416786_mscoco_1,A boy blowing out candles on a birthday cake.
496307_mscoco_2,this man is eating a slice of pizza
136328_mscoco_3,A woman making gestures with hands in black and white
477673_mscoco_3,A cute kitten hiding in something on a chair.
14562_mscoco_1,A man on a court playing tennis with a racket.
403345_mscoco_2,A lush green banana tree with bananas on it.
321516_mscoco_4,A bus of people riding up a highway.
375915_mscoco_0,Pizza on a tray on the table outside next to plates and wine glass
99567_mscoco_0,"Two red buses, headed to the same place, are right next to each other on the road."
348941_mscoco_3,The man is holding a piece of cake on a plate.
514396_mscoco_4,"It looks like a human figure hanging in the tree limbs, partially concealed by foliage."
242611_mscoco_4,A bathroom with a large sink and mirror opens onto a room with the toilet and bathtub.
205720_mscoco_4,The young man is making a cel phone call from a boat.
436871_mscoco_2,"A body of water, with a background of mountains."
343606_mscoco_1,A group of three birds sitting on top of dirt.
79034_mscoco_4,a blue fire hydrant standing close to a tree
180718_mscoco_0,A man holding a knife while standing over a sink.
276323_mscoco_3,A motorcycle that is sitting in the sand.
380951_mscoco_3,A bunch of sliced bananas in a plate full of liquid
346841_mscoco_3,"A basket holds flowers, twigs, and various fruits."
266070_mscoco_0,A plane flying over the water at sunset
504103_mscoco_0,a red open sign is by a curb
163970_mscoco_4,A long green army trucks parked next to a group of men on a field.
91343_mscoco_3,a bull dog standing beside a teddy bear looking all sad
257407_mscoco_3,A nighttime view of a building with the lights blurred.
438807_mscoco_4,A surfer riding a wave on the ocean.
358149_mscoco_2,groups of people are watching a kite that's ready to fly
124664_mscoco_1,Four horses are grazing on grass near a fence.
44718_mscoco_3,A blue and a yellow motorcycle parked in a lot.
556608_mscoco_1,A chocolate and vanilla birthday cake sitting on a white table.
78170_mscoco_1,Two woman are sitting on a passenger train.
340646_mscoco_1,People fly kites at a festival on a sunny day in a field.
52322_mscoco_1,A small white and brown bird resting on a twig.
296014_mscoco_0,a couple of people on a boat on a river
236016_mscoco_1,A bedroom with the door open and a few items on the bed
222440_mscoco_1,The people are looking at the elephants at the zoo.
174902_mscoco_0,A street sign covered in stickers under a breezeway.
299349_mscoco_3,A hand is holding a group of scissors.
98029_mscoco_0,a table with many plates on it with a bread basket
195754_mscoco_0,A living room with the tv on and a wheel on the wall.
537128_mscoco_3,a man and woman pose for a picture
331196_mscoco_2,A female tennis player hitting the ball back over the net.
200745_mscoco_4,A goalie making a diving block to stop the other team from scoring.
166437_mscoco_0,A bunch of very pretty assorted clocks on a wall.
5076_mscoco_0,Large tree with wooden picnic bench in wilderness area
423519_mscoco_1,A red and yellow passenger bus on the road.
39357_mscoco_3,A young man holding a racquet on a tennis court.
32901_mscoco_2,A group of older man standing next to each other.
161873_mscoco_1,A griaffe walking on a road with two cars approaching.
220266_mscoco_2,A cat sitting in front of a mirror near a door.
289813_mscoco_0,A little boy that is sitting in the grass with a suitcase.
281649_mscoco_2,a couple of horses that are eating out of a field
379453_mscoco_2,The bottom view of an airplane flying in the air.
349130_mscoco_1,A cat sitting by a glass of wine.
110313_mscoco_4,A classical building interior full of people in passing on a rainy day.
550514_mscoco_0,A group of people standing on top of a snow covered ski slope.
395046_mscoco_2,A train coming to the train station.
57390_mscoco_1,A little brown bird sits on a white ledge near a window.
209773_mscoco_3,A man in sunglasses under a blue and white umbrella.
531495_mscoco_1,a dock with some boats parked there
475593_mscoco_3,Two old photos with women in a kitchen.
24385_mscoco_1,A man and woman speaking to a seated gentleman.
370818_mscoco_4,A plain white bathroom with a cupboard stocked with towels.
520043_mscoco_3,a very tagged up truck in the middle of the road
519649_mscoco_3,A kitchen with a refrigerator and a stove.
31773_mscoco_4,A person typing on one computer with another adjacent.
402096_mscoco_1,A sign stands in front of a building on the street.
72795_mscoco_3,A baseball player is at bat as the crowd watches.
476119_mscoco_0,a man skating on the road very fast
22191_mscoco_3,A toilet is shown sitting on black and white tile.
359546_mscoco_0,Umbrellas made and woven items on beach near waterway.
526341_mscoco_2,Two giraffes standing beside each other with tree in background.
492544_mscoco_1,Lone giraffe walking through dry grass and low brush.
214046_mscoco_3,Three people agree in the kitchen near a cluttered bar.
573924_mscoco_0,You can see a blue towel hanging in the mirror.
514915_mscoco_1,A dog is laying down on the floor in the home.
45016_mscoco_0,A white toilet sitting on top of a bathroom floor.
496402_mscoco_3,a person playing chess with a cat sitting across the chess player
130234_mscoco_2,Two trains that are sitting on train tracks.
304083_mscoco_4,A baseball player hitting a ball with a bat.
383762_mscoco_4,A group of bananas hanging up to ripen.
289889_mscoco_0,A whole bunch of traffic stop signs huddled together.
97988_mscoco_3,A man in racing gear and number under a banner.
297574_mscoco_4,A pizza cut up in different sized pieces on a plate.
387563_mscoco_2,A giraffe standing by the rocks at the zoo.
47589_mscoco_2,a tree in the forest with flowers and a ribbon
523123_mscoco_2,a table top with a bunch of flowers on top of it
391862_mscoco_1,a little boy that is on a skateboard next to some water
530207_mscoco_3,A large crowd of travelers at a train platform.
451915_mscoco_0,The shoreline of a beach on a cloudy day.
94536_mscoco_0,A cat that is by a bicycle wheel.
351369_mscoco_4,Smoke coming from a large white commercial airplane.
63647_mscoco_0,A living room with red leather furniture in it
523274_mscoco_4,A person sitting on top of a horse
82576_mscoco_2,A small boat sits in shallow water in a tropical setting.
24104_mscoco_0,A full view of a home office with many computer screens.
49777_mscoco_1,some people and their luggage waiting for a bus
365273_mscoco_3,a little kid sleeping on a blue suitcase
246197_mscoco_1,A plate of food on a green surface.
573843_mscoco_3,a man is sitting on a wood bench outside
469329_mscoco_1,A hotdog on a bun with a few chips
26363_mscoco_3,Three elephants with tourists look at a temple
379085_mscoco_1,A boat floating along a river next to green trees.
140289_mscoco_0,Two born bears walking though a forest surrounded by trees.
11525_mscoco_1,a large air plane flying in the sky
515303_mscoco_0,a horse and buggy that is on a grassy field
244539_mscoco_2,"Motorcycle show, one being displayed with sign."
335201_mscoco_0,A person on a court with a tennis racket.
551685_mscoco_0,A group of people flying kites in a blue cloudy sky.
569839_mscoco_1,A girl with a missing front tooth enjoys a hotdog.
400709_mscoco_1,A surfer poses with his surf board at the beach
13031_mscoco_3,a person on a water ski boat jumping in the air in the boat.
235082_mscoco_3,three guys playing baseball the batter the catcher and the ump
186927_mscoco_1,A small tv and radio sitting on a bed
509260_mscoco_3,some books shelves a television and a table
497096_mscoco_0,A small red airplane on the runway at the airport.
206260_mscoco_0,Assorted flavored donuts being grabbed by multiple hands.
342971_mscoco_1,Man in green sweatshirt about to catch a frisbee.
62297_mscoco_0,A boy in a tie is bending down over a bowl.
499537_mscoco_3,The road of an area with brick side walks and wide roads.
519399_mscoco_0,A man holding a surfboard while watching the waves.
468965_mscoco_1,some people with kites on a city street
64399_mscoco_0,A female toddler in a flowered dress feeding herself some pastry
19444_mscoco_2,a male in a white shirt is playing frisbee
27493_mscoco_3,A pizza on a white plate held by someone
124277_mscoco_1,A train riding along a group of train tracks.
151524_mscoco_1,Several people fly their kites on a beach.
205473_mscoco_1,Several people dressed in costumes getting ready to snow ski.
417668_mscoco_3,A meat sandwich on a plate with a bowl of dipping sauce on a plate.
517211_mscoco_2,The two elephants stay close to each other behind the fence.
540107_mscoco_1,A herd of elephants walking down a dirt slope.
42387_mscoco_0,A forest filled with lush green leafy trees.
170700_mscoco_0,A building sitting along side of a street.
559159_mscoco_2,A kitchen with a hardwood floor with several windows.
313166_mscoco_2,A person skiing in the midst of snow covered mountains.
472160_mscoco_3,A man on a motorcycle has a stuffed Rudolph on his windshield.
524889_mscoco_2,A vintage image of a bunch of folks with some luggage.
273118_mscoco_1,an elephant with something in its trunk standing by a fence
206433_mscoco_0,a close up of two people wearing ties
353398_mscoco_0,a sculpture made of spoons and an old toaster
369982_mscoco_4,An outdoor swimming pool surrounded by lounge chairs and umbrellas with woods in the background
223959_mscoco_0,A man holding a tennis racquet on a tennis court.
369675_mscoco_0,A passenger train is sitting at a station.
405574_mscoco_1,Woman chasing flying bird near wood containers on grass.
479762_mscoco_2,"A pack of zebras running and playing in the open,"
252292_mscoco_1,A very busy and congested street full of taxi cabs.
175863_mscoco_1,A young man riding a skateboard down a street.
98328_mscoco_4,A couple of zebra standing on top of a dry grass field.
534903_mscoco_0,A peson on a snowboard moving through snowy field.
525119_mscoco_4,A child smiling at a hot dog and potato chips.
242513_mscoco_4,a close up of a red and black train on the track
71727_mscoco_2,Open laptop looking out onto a large yard.
21400_mscoco_3,Man and a woman holding an umbrella approaching a food stand.
79465_mscoco_4,A photo of a kitchen a with appliances an a bathroom with a toilet
145009_mscoco_2,Two giraffes snack on trees in their habitat
233430_mscoco_2,a wooden chair made out of assorted skis
85814_mscoco_1,The woman and boy are playing video games together.
1292_mscoco_3,A woman sitting in a chair examines a scroll.
159112_mscoco_0,A pizza covered with various toppings and some fruit wedges.
264382_mscoco_4,A baseball player throwing a baseball while people watch from the stands.
79992_mscoco_2,A view of a few cocunuts in a basket.
312890_mscoco_2,A back view of two zebras walking on a plains.
