uid,caption
000000007818,"A fancy dinner setting, with a centerpiece and turned-over wine glasses."
000000007867,A pizza of some sort on a pan.
000000007913,An outdoor market is selling many apples and other fruits.
000000007952,a truck on a train track with an oncoming train
000000007961,A person holds a beverage and a chili dog.
000000007977,A teenager is doing a wheelie on a skateboard.
000000007989,A person sits on a ski lift in a snowy forest.
000000007991,A plate on a table is filled with carrots and beans.
000000008005,An airplane is sitting on the runway while passengers get on
000000008010,The two blurry surfers are walking on the beach
000000008016,A fighter jet flying through a cloudy sky.
000000008021,A presenter projected on a large screen at a conference.
000000008042,two children playing a video game in a house
000000008065,A man in a baseball uniform swinging his bat.
000000008080,A pair of buses sit next to each other on a road.
000000008119,A team of young men playing a game of baseball.
000000008128,A blue and white giraffe statue position outside
000000008131,a dog looking at another dog playing on the beach
000000008170,A kitchen with different appliances inside of it.
000000008179,A green traffic light above a street with one car driving by.
000000008180,A jet airliner waits its turn on the runway.
000000008181,A motorcycle is parked on a gravel lot
000000008188,An old photo of an umbrella and chairs at the beach
000000008191,Young men balance on a sinking surfboard in a calm lake.
000000008196,The cookies have chocolate and oats in them.
000000008204,A bunch of vehicles in an Asian city.
000000008218,A castle displays the time on a clock tower.
000000008267,A small white toilet sitting in a bathroom.
000000008277,The meal consists of chopped chicken with cheese and brocolli.
000000008292,"A skinny kitchen with a visible fridge, microwave and sink."
000000008350,A dog is laying on the eaves of a house with clay pot roofing.
000000008351,two dogs wearing jackets standing in a yard
000000008401,Three bears walking together in a wooded area.
000000008418,"Various items that include mouthwash, toothpaste and a toothbrush."
000000008443,a baseball player ready to bat the ball
000000008445,Young people sitting on a bench and the ground in the woods
000000008457,two cows are grazing in a dirt field
000000008473,A pile of orange sitting on a market shelf.
000000008483,A man and woman standing in front of a podium.
000000008493,A surfer is at the peak of a wave and circling around.
000000008495,A man holds up a ski and a pole.
000000008498,Clock tower sitting in an open park area in front of a building.
000000008532,Stylish man looking into camera with blurred background
000000008583,A desktop computer is sitting on the computer desk.
000000008589,A man in white shirt doing a trick on a skateboard.
000000008594,An old man is reading a book in the room.
000000008599,Two men push and pull a metal cart loaded with luggage down a dirt road.
000000008603,Both an adult and young giraffe walking in a field.
000000008612,A young alpaca under a tree in the country.
000000008647,many different buildings near one another near trees
000000008676,A quilt covers a bed in a tropical themed bedroom.
000000008688,A platform bed is displayed with the mattress off of it.
000000008690,Two girls pet a goat that is in a pen.
000000008708,White teddy bear wearing glasses sitting beside a rocking chair.
000000008711,A hand holding a book on a table with a breakfast and coffee next to it
000000008718,A dessert plate with cobbler and a cup of coffee to the side
000000008749,A pizza sitting on a pizza pan on top of a wooden table.
000000008762,Twilight at a city intersection with lit street signs.
000000008775,A bed sitting up against a window under a wall covered in posters.
000000008787,A man holds a puppy and a camera.
000000008803,a man dressed in a costume talking on a cell phone
000000008832,A little girl standing in front of table with cakes on it.
000000008876,A box filled with lots of bottles of wine.
000000008888,An airport filled with jets parked on top of it's tarmacs.
000000008899,A red brick building with a graffiti covered front.
000000008923,A red headed child is playing with a skate board.
000000008934,a laptop head phones and an mp3 player
000000008953,Hot dogs and cheeseburger links rotating on a warmer.
000000008981,A man riding a wave on top of a surfboard.
000000009002,There is a freshly made pizza out of the oven
000000009007,The man grins in a restaurant holding a glass of wine.
000000009041,A very cute cat near a bunch of birds.
000000009077,The produce section of a grocery store showing many various fruits.
000000009145,Two fuzzy ducklings sitting together in green grass
000000009156,"A Subway sandwich, potato chips, raisins, and a mug of coffee."
000000009170,A animal that is leaning inside of a toilet.
000000009171,a man riding down the road wearing some skiis and holding onto the poles in one hand
000000009172,An antique pole clock and street lamp adorn a little cobblestone city plaza near an overpass.
000000009175,A man stretching his tiger kite in the sun.
000000009186,a collection of glass vases are sitting in a window
000000009214,Zebras look for anything in the grass to eat.
000000009217,there is a clock that is at the top of this tower
000000009236,a kitchen with a dishwasher double door panty and a back door
000000009270,A toddler standing at an outside table eating cake
000000009275,Coolers are set up and the makings for Margaritas.
000000009288,A special toilet with an electronic seat and lid.
000000009378,A man is doing a trick with a frisbee.
000000009379,There is a glass awning over a sidewalk
000000009426,A plane that is flying in the air.
000000009448,A little girl who is holding an umbrella.
000000009450,Two children on second base waiting for a play.
000000009466,A brown and white cat sitting next to a pile of shoes.
000000009478,a giraffe in the middle of a field of grass with trees in the background
000000009483,A man standing near a table with video equipment.
000000009497,A graffiti covered train traveling past lots of trees.
000000009520,A brown horse standing in front of a building.
000000009527,A laptop computer sits on a cluttered desk.
000000009553,A bird with an orange beak sitting on a tree branch.
000000009572,A pottery vessel in the form of a giraffe.
000000009590,A group of guys are sitting at a table eating and laughing.
000000009603,a group of cows stand on a steep hill
000000009628,A man flying through the air over the water on a board while holding a rope.
000000009647,there are many men preparing to cut a red ribbon
000000009668,That seems like a very small sink for this kitchen.
000000009679,A suitcase bag packed with roller skates hanging from the top and back of it.
000000009699,a big plane sits parked in a air port
000000009707,a number of chairs with umbrellas by an expanse of water
000000009721,This photograph appears to be looking truly wonderful.
000000009729,A man makes a face while a woman holds up her phone.
000000009759,A winter scene with frozen mail and newspaper boxes under a street sign.
000000009769,The pick up truck is plowing the snow.
000000009772,A person takes a picture in a hotel bathroom.
000000009791,a clock on a table behind a painting.
000000009800,Men and women gather around while playing a video game
000000009801,a woman is looking at a cat on a bike
000000009830,An orange and black cat sitting on top of a laptop computer.
000000009857,A bed with a white com forter and two lamps.
000000009891,Two men handling luggage in a parking structure.
000000009908,Cooked snack item in bread on plate with condiment.
000000009914,A sandwich on a sesame seed bun next to a pile of french fries and a cup of ketchup.
000000009927,The two men are looking at the upright surfboard.
000000010008,A very dark bedroom with unmade beds and a television.
000000010023,A skateboarder is airborne in front of a corrugated door.
000000010039,The clock is at the base of a tall spire.
000000010040,Members of the military are in a park.
000000010056,The city bus has pulled over to the side of the road.
000000010092,A bed with lots of pillows and blankets under a canopy.
000000010104,A group of men riding on the back of a motorcycle.
000000010107,there is a dog sitting in a room where there is sun
000000010115,An open bathroom with a skyscraper shower curtain
000000010123,Professional photograph of a woman playing tennis indoors
000000010138,There is a man that is looking at a chicate cake in the table with a candle in it
000000010149,A cook slices up food while preparing a dish.
000000010192,A woman sitting at a table smoking cigarette.
000000010205,A man jumping into the air in a living room.
000000010211,Two larger giraffes look onto baby giraffes by small river
000000010216,Woman playing tennis at a large tennis match.
000000010217,A quesadilla wrapped in plastic sitting on top of a table.
000000010219,A dog laying in leaves with his Frisbee.
000000010263,a large living room empty of everything with wood floors
000000010290,A bathroom with a toilet and a blue shower curtain.
000000010324,large stainless refrigerator with the refrigerator door open
000000010363,A gray cat standing on top of a black car.
000000010386,A man wearing a suit stands in front of a lake and a mountain.
000000010395,A well-used stuffed animal bunny sitting on a bed.
000000010400,The building has an archway going through it.
000000010428,A sink is shown in front of a frame covered wall.
000000010432,A store display that has a lot of bananas on display for sale.
000000010440,A green and grey helicopter in a hazy sky.
000000010442,Baseball players high-fiving each other on a baseball field
000000010449,Three elephants are standing in a river in the wild.
000000010463,red haired woman sitting alone on a bench
000000010526,A man on a skateboard performs a trick on the ledge
000000010580,Three giraffes are standing tall as their necks stretch up to the tree line.
000000010583,A white plate with a pile of food on it.
000000010591,A man standing on a tennis court next to a young boy.
000000010613,A man holding a box of donuts for others to enjoy.
000000010615,A white truck parked next to a black car.
000000010643,"A bathroom which has a telephone, sink and mirror."
000000010644,A pitcher on the pitching mound gripping his crotch.
000000010681,"View of top of a white building with tan speckled area, an uncovered awning with a pigeon in fight below, and a red umbrella behind balcony wall."
000000010684,A man that is on a surfboard in the water.
000000010694,A cat stares from behind a large TV.
000000010698,A man riding a large wave on a surfboard in the ocean.
000000010705,A group of people at a long table.
000000010707,Three people with cups on the couch and one with remote standing
000000010720,A black horse standing in a cramped stable.
000000010764,A baseball catcher stands ready to catch a ball.
000000010766,a little asian girl holding a stuffed rabbit close to her face
000000010779,"A young boy, with a mustache wearing a neck tie."
000000010800,"A bathroom with a sink, counter, toilet and shower curtain."
000000010837,Soccor players approach a ball that is in the air.
000000010844,A kitchen filled with lots of counter top space.
000000010858,A hot dog with sauerkraut and onions in tin foil
000000010920,A NYPD police car in New York City.
000000010928,there are many different signs on this street pole
000000010935,An albino elephant with its baby standing in a marsh area with others.
000000010954,a scooter next to a brick building with graffiti on it
000000010966,A group of people holding drinks and having conversation.
000000010986,The group of many different people are sitting together.
000000010995,A bed is very close to a window with dark curtains.
000000011034,A boy and a man playing video games sitting on a couch.
000000011042,A large slice of cheese pizza on a paper plate.
000000011051,Girl looks back as she fixes flower on boy's suit
000000011081,An airplane flies in a cloudy sky as a backdrop.
000000011115,An elderly man and woman sitting down
000000011122,The stop sign is behind the fence instead of on the street.
000000011156,A purse sitting next to its contents and a laptop
